x	y	kxx	kxy	kyy
121.93	110.393	0.0415596	-0.00135956	0.0708058
153.459	115.898	0.0307115	0.00268783	0.0403848
189.328	121.782	0.0211024	0.00108291	0.0225459
92.949	137.608	0.0533604	0.00542487	0.0572086
119.433	144.444	0.030102	0.00399059	0.0462725
150.023	151.864	0.0246363	0.00192174	0.0316669
184.714	159.72	0.0164675	0.000494959	0.0176689
71.9749	71.9048	0.0500818	0.00779869	0.0529391
101.215	73.1156	0.0490385	0.0123588	0.0651762
135.581	74.9932	0.0412539	0.00582798	0.057637
175.074	77.6124	0.0293951	0.00227671	0.0338797
75.8191	105.312	0.0598819	0.0124258	0.0596325
104.175	109.167	0.0503273	0.00772129	0.0599699
137.491	113.506	0.0437274	0.00426699	0.0527554
175.443	118.345	0.0301724	0.00266324	0.0287886
79.9283	136.143	0.0596352	0.0107017	0.0456144
107.535	141.993	0.043396	0.00682837	0.044629
139.334	148.247	0.0326077	0.0049291	0.0342817
174.841	154.519	0.0217556	0.00215779	0.0181818
18.1147	56.6032	0.0287979	0.00162114	0.0349481
56.7889	52.0955	0.0348752	0.00201599	0.0353072
101.845	48.4754	0.0496809	0.00083528	0.0440219
150.685	45.3097	0.0362292	0.00455024	0.0359454
23.9275	98.7125	0.0363792	0.00376951	0.0330507
62.0546	97.1093	0.0510947	0.00322028	0.0433443
105.767	95.5714	0.0668626	0.00528245	0.066513
153.142	93.6111	0.0481028	0.000184602	0.0518829
31.4009	137.646	0.0415192	0.00544165	0.0310341
68.4797	138.444	0.0453022	0.00466762	0.0373438
110.317	138.203	0.0558651	0.00304648	0.043368
155.134	137.478	0.0432739	-0.00236773	0.0358593
27.746	60.6773	0.0343685	-6.45755e-05	0.0326713
74.7772	55.7115	0.046274	0.00119376	0.0438021
123.75	51.6073	0.0487484	0.00159391	0.051919
171.378	48.9505	0.0286338	0.00236694	0.0304023
32.2355	108.654	0.0355698	-0.00105913	0.0337438
78.6634	104.705	0.0517919	0.000882656	0.0475906
127.165	100.139	0.0682249	-0.00605628	0.0685788
174.152	96.188	0.0346527	-0.00200978	0.0423557
38.8859	154.152	0.0331303	0.00124979	0.026189
83.9551	150.978	0.0484959	0.000218847	0.0382643
130.656	146.597	0.0399494	-0.00312426	0.0385923
176	141.266	0.0301504	-0.00395152	0.0311849
36.7059	56.6243	0.0350295	0.00114709	0.0270019
81.5475	54.873	0.0461603	0.0026632	0.0368505
124.419	53.9114	0.0436826	0.00620825	0.0509584
163.235	53.8411	0.0368251	0.00499342	0.0368426
38.845	103.234	0.0363687	0.00128822	0.031155
85.3021	100.197	0.0515945	0.0021883	0.0507191
129.19	97.1312	0.0489028	0.00187415	0.0576191
168.501	94.4318	0.0381476	0.00406773	0.0425681
43.52	151.615	0.0330554	8.91976e-05	0.0278492
90.2077	146.915	0.0439604	-0.003736	0.0416697
134.526	141.516	0.044935	-0.00080134	0.0470436
173.452	136.083	0.030571	-0.00203995	0.0366388
41.7682	36.7768	0.0367842	0.00182808	0.0305958
89.0686	37.4103	0.0476311	0.00377252	0.0421441
132.27	39.2944	0.0414338	0.00943604	0.0480457
169.572	41.9626	0.029359	0.00788072	0.0339566
44.029	85.0979	0.0389145	0.000750523	0.0380785
94.5738	83.2652	0.0464093	0.0022792	0.0529658
139.746	82.2228	0.0491289	0.00804494	0.0652889
178.25	81.4544	0.0348721	0.00393194	0.0444607
48.9616	139.12	0.0394348	0.000321557	0.0383704
101.2	134.4	0.0582281	0.00445823	0.0535666
147.95	129.224	0.0531256	0.00268329	0.056874
186.284	124.432	0.0257544	0.000625025	0.0369898
31.79	42.3056	0.0397774	0.000383737	0.0241025
72.4611	41.8055	0.0393954	0.0053247	0.0314235
110.843	42.5347	0.0534466	0.0100856	0.0373586
145.384	43.5841	0.0525527	0.0136572	0.0368423
34.4248	79.749	0.0382891	-0.000753207	0.0270404
78.9414	77.767	0.0510135	0.00567331	0.0425111
120.078	76.4448	0.0621977	0.0118946	0.0497467
156.201	75.5372	0.0498587	0.00879534	0.045087
39.3595	124.236	0.0350701	0.00143254	0.0258431
86.9742	119.907	0.0585443	0.0028502	0.0471535
130.661	115.684	0.0519872	0.00668969	0.0498325
168.33	111.954	0.0485479	0.0054674	0.0432246
35.2284	73.2099	0.0495428	-0.000680483	0.024833
72.1082	70.3856	0.057063	-0.000589704	0.0283763
108.302	68.2118	0.0792856	0.00695103	0.04059
141.882	66.4605	0.0795884	0.0114089	0.0397085
