0.149345	0	-1	0	-0.115209	1.91961	0.10489	0	0	0	0	0	0	4.92732	-30.3385	5.17358	-1927.06	-28.9497	-287.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	-0.115209	0	-1	0	-1.37503	-0.0691468	0	0	0	0	0	0	30.7883	-71.2081	-21.1722	-22.8998	-1940.41	225.921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.0262691	0	-1	0	-0.115684	-0.180152	-0.00509786	0	0	0	0	0	0	-0.981839	-35.7584	18.8169	-1965.79	-2.39023	52.0432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	-0.115684	0	-1	0	-0.648815	-0.015796	0	0	0	0	0	0	31.0986	-106.834	-32.0749	3.97034	-1951.56	230.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.199789	0	-1	0	-0.113767	-3.60179	-0.267794	0	0	0	0	0	0	-6.74306	-42.9656	42.8321	-1886	24.1811	379.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	-0.113767	0	-1	0	-1.96264	-0.138715	0	0	0	0	0	0	30.941	-139.715	-42.8334	30.7658	-1923.12	219.476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.102759	0	-1	0	0.128503	0.8558	0.0283052	0	0	0	0	0	0	0	0	0	0	0	0	17.3079	-57.9929	14.1496	-1252.77	6.3617	-128.761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.128503	0	-1	0	1.00732	0.030607	0	0	0	0	0	0	0	0	0	0	0	0	64.2335	-23.0204	-20.8199	10.3434	-1248.73	-159.939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.00649781	0	-1	0	0.129158	-0.0529542	-0.00173812	0	0	0	0	0	0	0	0	0	0	0	0	11.073	-60.2826	13.1812	-1305.09	-5.1228	8.07887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.129158	0	-1	0	0.663186	0.013763	0	0	0	0	0	0	0	0	0	0	0	0	62.4204	-45.6488	-32.5826	-0.901408	-1292.19	-166.816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
